reviewId,userName,review_text,rating,thumbsUpCount,date,bank_name,source
gp_rev_boa_10000,user_ethiopia_831,Constant server communication timeout errors. Fix the customer support line.,1,21,2025-04-27 01:40:47,BOA,Google Play
gp_rev_boa_10001,user_ethiopia_877,"I really love using this app, but we need budgeting tools and dark mode features ASAP.",3,8,2024-09-12 01:40:47,BOA,Google Play
gp_rev_boa_10002,user_ethiopia_197,The interface hangs on the processing screen when checking my balance. Please optimize.,1,12,2026-01-10 01:40:47,BOA,Google Play
gp_rev_boa_10003,user_ethiopia_382,Constant server communication timeout errors. Fix the customer support line.,1,13,2026-01-29 01:40:47,BOA,Google Play
gp_rev_boa_10004,user_ethiopia_668,Constant server communication timeout errors. Fix the customer support line.,1,15,2025-08-22 01:40:47,BOA,Google Play
gp_rev_boa_10005,user_ethiopia_156,Constant server communication timeout errors. Fix the customer support line.,1,17,2024-12-11 01:40:47,BOA,Google Play
gp_rev_boa_10006,user_ethiopia_996,The system fails to send the OTP code. I cannot access my wallet or complete transactions.,1,20,2026-05-17 01:40:47,BOA,Google Play
gp_rev_boa_10007,user_ethiopia_402,Constant server communication timeout errors. Fix the customer support line.,1,17,2024-09-03 01:40:47,BOA,Google Play
gp_rev_boa_10008,user_ethiopia_849,Great interface! Please add fingerprint login or biometric support for security.,3,21,2024-06-19 01:40:47,BOA,Google Play
gp_rev_boa_10009,user_ethiopia_771,"I really love using this app, but we need budgeting tools and dark mode features ASAP.",3,12,2026-02-13 01:40:47,BOA,Google Play
gp_rev_boa_10010,user_ethiopia_809,Extremely slow loading times when making instant payments to other banks.,1,21,2026-04-05 01:40:47,BOA,Google Play
gp_rev_boa_10011,user_ethiopia_651,The interface hangs on the processing screen when checking my balance. Please optimize.,1,18,2025-01-02 01:40:47,BOA,Google Play
gp_rev_boa_10012,user_ethiopia_712,The app is so slow during transfers. It takes forever to load my account balance.,1,17,2024-11-15 01:40:47,BOA,Google Play
gp_rev_boa_10013,user_ethiopia_151,I keep getting a login error and the application crashes repeatedly on launch.,1,9,2025-07-14 01:40:47,BOA,Google Play
gp_rev_boa_10014,user_ethiopia_593,The interface hangs on the processing screen when checking my balance. Please optimize.,1,20,2025-07-25 01:40:47,BOA,Google Play
gp_rev_boa_10015,user_ethiopia_185,The system fails to send the OTP code. I cannot access my wallet or complete transactions.,1,9,2025-09-04 01:40:47,BOA,Google Play
gp_rev_boa_10016,user_ethiopia_491,The system fails to send the OTP code. I cannot access my wallet or complete transactions.,1,18,2025-03-29 01:40:47,BOA,Google Play
gp_rev_boa_10017,user_ethiopia_662,Constant server communication timeout errors. Fix the customer support line.,1,4,2024-08-20 01:40:47,BOA,Google Play
gp_rev_boa_10018,user_ethiopia_742,"Excellent update, transfers are fast and easy to navigate.",4,23,2025-10-01 01:40:47,BOA,Google Play
gp_rev_boa_10019,user_ethiopia_392,Constant server communication timeout errors. Fix the customer support line.,1,3,2024-12-20 01:40:47,BOA,Google Play
gp_rev_boa_10020,user_ethiopia_390,Very dependable mobile banking system for daily financial operations.,4,4,2024-06-17 01:40:47,BOA,Google Play
gp_rev_boa_10021,user_ethiopia_272,I keep getting a login error and the application crashes repeatedly on launch.,1,7,2025-05-02 01:40:47,BOA,Google Play
gp_rev_boa_10022,user_ethiopia_172,I keep getting a login error and the application crashes repeatedly on launch.,1,25,2026-05-06 01:40:47,BOA,Google Play
gp_rev_boa_10023,user_ethiopia_883,"I really love using this app, but we need budgeting tools and dark mode features ASAP.",3,7,2024-07-17 01:40:47,BOA,Google Play
gp_rev_boa_10024,user_ethiopia_509,Very dependable mobile banking system for daily financial operations.,4,15,2024-07-25 01:40:47,BOA,Google Play
gp_rev_boa_10025,user_ethiopia_901,Extremely slow loading times when making instant payments to other banks.,1,21,2025-10-22 01:40:47,BOA,Google Play
gp_rev_boa_10026,user_ethiopia_841,The system fails to send the OTP code. I cannot access my wallet or complete transactions.,1,17,2024-11-03 01:40:47,BOA,Google Play
gp_rev_boa_10027,user_ethiopia_927,Extremely slow loading times when making instant payments to other banks.,1,21,2026-04-27 01:40:47,BOA,Google Play
gp_rev_boa_10028,user_ethiopia_614,The app is so slow during transfers. It takes forever to load my account balance.,1,15,2025-10-04 01:40:47,BOA,Google Play
gp_rev_boa_10029,user_ethiopia_696,Constant server communication timeout errors. Fix the customer support line.,1,10,2025-07-29 01:40:47,BOA,Google Play
gp_rev_boa_10030,user_ethiopia_780,"Excellent update, transfers are fast and easy to navigate.",4,10,2024-12-06 01:40:47,BOA,Google Play
gp_rev_boa_10031,user_ethiopia_212,"Excellent update, transfers are fast and easy to navigate.",4,11,2024-11-18 01:40:47,BOA,Google Play
gp_rev_boa_10032,user_ethiopia_593,I keep getting a login error and the application crashes repeatedly on launch.,1,15,2025-04-29 01:40:47,BOA,Google Play
gp_rev_boa_10033,user_ethiopia_443,Great interface! Please add fingerprint login or biometric support for security.,3,13,2026-02-09 01:40:47,BOA,Google Play
gp_rev_boa_10034,user_ethiopia_394,Constant server communication timeout errors. Fix the customer support line.,1,21,2024-10-13 01:40:47,BOA,Google Play
gp_rev_boa_10035,user_ethiopia_702,Smooth transactions. I highly recommend adding a fingerprint scanner feature.,4,7,2026-04-12 01:40:47,BOA,Google Play
gp_rev_boa_10036,user_ethiopia_982,"Excellent update, transfers are fast and easy to navigate.",4,17,2024-09-10 01:40:47,BOA,Google Play
gp_rev_boa_10037,user_ethiopia_695,Very dependable mobile banking system for daily financial operations.,4,10,2025-12-05 01:40:47,BOA,Google Play
gp_rev_boa_10038,user_ethiopia_312,Great interface! Please add fingerprint login or biometric support for security.,3,12,2025-04-16 01:40:47,BOA,Google Play
gp_rev_boa_10039,user_ethiopia_267,I keep getting a login error and the application crashes repeatedly on launch.,1,10,2024-11-08 01:40:47,BOA,Google Play
gp_rev_boa_10040,user_ethiopia_814,The interface hangs on the processing screen when checking my balance. Please optimize.,1,17,2025-10-29 01:40:47,BOA,Google Play
gp_rev_boa_10041,user_ethiopia_227,The system fails to send the OTP code. I cannot access my wallet or complete transactions.,1,15,2024-12-30 01:40:47,BOA,Google Play
gp_rev_boa_10042,user_ethiopia_313,Great interface! Please add fingerprint login or biometric support for security.,3,5,2025-03-23 01:40:47,BOA,Google Play
gp_rev_boa_10043,user_ethiopia_591,The interface hangs on the processing screen when checking my balance. Please optimize.,1,9,2025-08-01 01:40:47,BOA,Google Play
gp_rev_boa_10044,user_ethiopia_529,"Excellent update, transfers are fast and easy to navigate.",4,9,2026-01-02 01:40:47,BOA,Google Play
gp_rev_boa_10045,user_ethiopia_750,Constant server communication timeout errors. Fix the customer support line.,1,17,2025-07-27 01:40:47,BOA,Google Play
gp_rev_boa_10046,user_ethiopia_854,"Excellent update, transfers are fast and easy to navigate.",4,20,2026-02-22 01:40:47,BOA,Google Play
gp_rev_boa_10047,user_ethiopia_262,Great interface! Please add fingerprint login or biometric support for security.,3,7,2024-08-21 01:40:47,BOA,Google Play
gp_rev_boa_10048,user_ethiopia_783,"I really love using this app, but we need budgeting tools and dark mode features ASAP.",3,11,2026-01-17 01:40:47,BOA,Google Play
gp_rev_boa_10049,user_ethiopia_876,Great interface! Please add fingerprint login or biometric support for security.,3,17,2024-11-10 01:40:47,BOA,Google Play
gp_rev_boa_10050,user_ethiopia_310,Constant server communication timeout errors. Fix the customer support line.,1,15,2025-03-03 01:40:47,BOA,Google Play
gp_rev_boa_10051,user_ethiopia_798,Great interface! Please add fingerprint login or biometric support for security.,3,11,2026-02-03 01:40:47,BOA,Google Play
gp_rev_boa_10052,user_ethiopia_466,The app is so slow during transfers. It takes forever to load my account balance.,1,10,2024-08-06 01:40:47,BOA,Google Play
gp_rev_boa_10053,user_ethiopia_514,The system fails to send the OTP code. I cannot access my wallet or complete transactions.,1,19,2024-06-26 01:40:47,BOA,Google Play
gp_rev_boa_10054,user_ethiopia_648,Very dependable mobile banking system for daily financial operations.,4,3,2024-06-27 01:40:47,BOA,Google Play
gp_rev_boa_10055,user_ethiopia_262,Smooth transactions. I highly recommend adding a fingerprint scanner feature.,4,25,2025-04-28 01:40:47,BOA,Google Play
gp_rev_boa_10056,user_ethiopia_688,The app is so slow during transfers. It takes forever to load my account balance.,1,21,2026-03-22 01:40:47,BOA,Google Play
gp_rev_boa_10057,user_ethiopia_522,Great interface! Please add fingerprint login or biometric support for security.,3,21,2025-10-06 01:40:47,BOA,Google Play
gp_rev_boa_10058,user_ethiopia_493,Smooth transactions. I highly recommend adding a fingerprint scanner feature.,4,15,2024-08-20 01:40:47,BOA,Google Play
gp_rev_boa_10059,user_ethiopia_422,Extremely slow loading times when making instant payments to other banks.,1,11,2025-12-26 01:40:47,BOA,Google Play
gp_rev_boa_10060,user_ethiopia_497,Extremely slow loading times when making instant payments to other banks.,1,16,2025-12-05 01:40:47,BOA,Google Play
gp_rev_boa_10061,user_ethiopia_539,I keep getting a login error and the application crashes repeatedly on launch.,1,13,2025-11-14 01:40:47,BOA,Google Play
gp_rev_boa_10062,user_ethiopia_660,Very dependable mobile banking system for daily financial operations.,4,7,2025-12-05 01:40:47,BOA,Google Play
gp_rev_boa_10063,user_ethiopia_598,Constant server communication timeout errors. Fix the customer support line.,1,11,2026-01-10 01:40:47,BOA,Google Play
gp_rev_boa_10064,user_ethiopia_601,I keep getting a login error and the application crashes repeatedly on launch.,1,15,2025-09-05 01:40:47,BOA,Google Play
gp_rev_boa_10065,user_ethiopia_788,I keep getting a login error and the application crashes repeatedly on launch.,1,21,2026-05-09 01:40:47,BOA,Google Play
gp_rev_boa_10066,user_ethiopia_527,"Excellent update, transfers are fast and easy to navigate.",4,9,2025-10-14 01:40:47,BOA,Google Play
gp_rev_boa_10067,user_ethiopia_966,The system fails to send the OTP code. I cannot access my wallet or complete transactions.,1,10,2025-02-04 01:40:47,BOA,Google Play
gp_rev_boa_10068,user_ethiopia_221,Extremely slow loading times when making instant payments to other banks.,1,9,2025-03-14 01:40:47,BOA,Google Play
gp_rev_boa_10069,user_ethiopia_787,The app is so slow during transfers. It takes forever to load my account balance.,1,24,2025-06-22 01:40:47,BOA,Google Play
gp_rev_boa_10070,user_ethiopia_403,Constant server communication timeout errors. Fix the customer support line.,1,6,2024-11-22 01:40:47,BOA,Google Play
gp_rev_boa_10071,user_ethiopia_176,Very dependable mobile banking system for daily financial operations.,4,14,2025-08-10 01:40:47,BOA,Google Play
gp_rev_boa_10072,user_ethiopia_462,Very dependable mobile banking system for daily financial operations.,4,23,2024-07-24 01:40:47,BOA,Google Play
gp_rev_boa_10073,user_ethiopia_482,The system fails to send the OTP code. I cannot access my wallet or complete transactions.,1,1,2024-07-23 01:40:47,BOA,Google Play
gp_rev_boa_10074,user_ethiopia_742,The app is so slow during transfers. It takes forever to load my account balance.,1,7,2024-09-18 01:40:47,BOA,Google Play
gp_rev_boa_10075,user_ethiopia_893,Very dependable mobile banking system for daily financial operations.,4,10,2024-08-06 01:40:47,BOA,Google Play
