reviewId,userName,review_text,rating,thumbsUpCount,date,bank_name,source,cleaned_text,is_transfer_issue,has_feature_request,is_technical_complaint,identified_theme,sentiment_score,sentiment_label
gp_rev_boa_10000,user_ethiopia_831,Constant server communication timeout errors. Fix the customer support line.,1,21,2025-04-27,BOA,Google Play,constant server communication timeout errors fix the customer support line,False,False,True,Authentication & Server Bugs,0.0772,Positive
gp_rev_boa_10001,user_ethiopia_877,"I really love using this app, but we need budgeting tools and dark mode features ASAP.",3,8,2024-09-12,BOA,Google Play,i really love using this app but we need budgeting tools and dark mode features asap,False,True,False,Mobile App Feature Request,0.4111,Positive
gp_rev_boa_10002,user_ethiopia_197,The interface hangs on the processing screen when checking my balance. Please optimize.,1,12,2026-01-10,BOA,Google Play,the interface hangs on the processing screen when checking my balance please optimize,True,False,False,Performance & Transfer Delays,0.6705,Positive
gp_rev_boa_10003,user_ethiopia_382,Constant server communication timeout errors. Fix the customer support line.,1,13,2026-01-29,BOA,Google Play,constant server communication timeout errors fix the customer support line,False,False,True,Authentication & Server Bugs,0.0772,Positive
gp_rev_boa_10004,user_ethiopia_668,Constant server communication timeout errors. Fix the customer support line.,1,15,2025-08-22,BOA,Google Play,constant server communication timeout errors fix the customer support line,False,False,True,Authentication & Server Bugs,0.0772,Positive
gp_rev_boa_10005,user_ethiopia_156,Constant server communication timeout errors. Fix the customer support line.,1,17,2024-12-11,BOA,Google Play,constant server communication timeout errors fix the customer support line,False,False,True,Authentication & Server Bugs,0.0772,Positive
gp_rev_boa_10006,user_ethiopia_996,The system fails to send the OTP code. I cannot access my wallet or complete transactions.,1,20,2026-05-17,BOA,Google Play,the system fails to send the otp code i cannot access my wallet or complete transactions,False,False,True,Authentication & Server Bugs,-0.4215,Negative
gp_rev_boa_10007,user_ethiopia_402,Constant server communication timeout errors. Fix the customer support line.,1,17,2024-09-03,BOA,Google Play,constant server communication timeout errors fix the customer support line,False,False,True,Authentication & Server Bugs,0.0772,Positive
gp_rev_boa_10008,user_ethiopia_849,Great interface! Please add fingerprint login or biometric support for security.,3,21,2024-06-19,BOA,Google Play,great interface please add fingerprint login or biometric support for security,False,True,True,Mobile App Feature Request,0.8955,Positive
gp_rev_boa_10009,user_ethiopia_771,"I really love using this app, but we need budgeting tools and dark mode features ASAP.",3,12,2026-02-13,BOA,Google Play,i really love using this app but we need budgeting tools and dark mode features asap,False,True,False,Mobile App Feature Request,0.4111,Positive
gp_rev_boa_10010,user_ethiopia_809,Extremely slow loading times when making instant payments to other banks.,1,21,2026-04-05,BOA,Google Play,extremely slow loading times when making instant payments to other banks,True,False,False,Performance & Transfer Delays,0.0,Neutral
gp_rev_boa_10011,user_ethiopia_651,The interface hangs on the processing screen when checking my balance. Please optimize.,1,18,2025-01-02,BOA,Google Play,the interface hangs on the processing screen when checking my balance please optimize,True,False,False,Performance & Transfer Delays,0.6705,Positive
gp_rev_boa_10012,user_ethiopia_712,The app is so slow during transfers. It takes forever to load my account balance.,1,17,2024-11-15,BOA,Google Play,the app is so slow during transfers it takes forever to load my account balance,True,False,False,Performance & Transfer Delays,0.0,Neutral
