reviewId,userName,review_text,rating,thumbsUpCount,date,bank_name,source
gp_rev_dashen_10000,user_ethiopia_418,The system fails to send the OTP code. I cannot access my wallet or complete transactions.,1,8,2024-07-11 01:40:47,Dashen,Google Play
gp_rev_dashen_10001,user_ethiopia_950,Constant server communication timeout errors. Fix the customer support line.,1,13,2025-09-02 01:40:47,Dashen,Google Play
gp_rev_dashen_10002,user_ethiopia_447,Extremely slow loading times when making instant payments to other banks.,1,9,2024-08-22 01:40:47,Dashen,Google Play
gp_rev_dashen_10003,user_ethiopia_628,"I really love using this app, but we need budgeting tools and dark mode features ASAP.",4,6,2025-08-15 01:40:47,Dashen,Google Play
gp_rev_dashen_10004,user_ethiopia_229,"I really love using this app, but we need budgeting tools and dark mode features ASAP.",4,17,2026-04-07 01:40:47,Dashen,Google Play
gp_rev_dashen_10005,user_ethiopia_593,I keep getting a login error and the application crashes repeatedly on launch.,1,5,2026-04-12 01:40:47,Dashen,Google Play
gp_rev_dashen_10006,user_ethiopia_165,Smooth transactions. I highly recommend adding a fingerprint scanner feature.,5,23,2025-06-12 01:40:47,Dashen,Google Play
gp_rev_dashen_10007,user_ethiopia_404,Great interface! Please add fingerprint login or biometric support for security.,4,13,2026-01-16 01:40:47,Dashen,Google Play
gp_rev_dashen_10008,user_ethiopia_172,The interface hangs on the processing screen when checking my balance. Please optimize.,2,6,2024-10-19 01:40:47,Dashen,Google Play
gp_rev_dashen_10009,user_ethiopia_129,The app is so slow during transfers. It takes forever to load my account balance.,2,2,2024-09-07 01:40:47,Dashen,Google Play
gp_rev_dashen_10010,user_ethiopia_386,Constant server communication timeout errors. Fix the customer support line.,1,9,2025-07-08 01:40:47,Dashen,Google Play
gp_rev_dashen_10011,user_ethiopia_813,Great interface! Please add fingerprint login or biometric support for security.,4,15,2025-01-12 01:40:47,Dashen,Google Play
gp_rev_dashen_10012,user_ethiopia_805,The app is so slow during transfers. It takes forever to load my account balance.,2,10,2025-08-09 01:40:47,Dashen,Google Play
gp_rev_dashen_10013,user_ethiopia_541,I keep getting a login error and the application crashes repeatedly on launch.,1,3,2025-04-02 01:40:47,Dashen,Google Play
gp_rev_dashen_10014,user_ethiopia_900,"I really love using this app, but we need budgeting tools and dark mode features ASAP.",4,14,2025-01-17 01:40:47,Dashen,Google Play
gp_rev_dashen_10015,user_ethiopia_590,Extremely slow loading times when making instant payments to other banks.,1,21,2024-11-10 01:40:47,Dashen,Google Play
gp_rev_dashen_10016,user_ethiopia_480,Great interface! Please add fingerprint login or biometric support for security.,4,7,2024-07-27 01:40:47,Dashen,Google Play
gp_rev_dashen_10017,user_ethiopia_906,Very dependable mobile banking system for daily financial operations.,5,4,2026-02-01 01:40:47,Dashen,Google Play
gp_rev_dashen_10018,user_ethiopia_605,Extremely slow loading times when making instant payments to other banks.,1,11,2025-02-10 01:40:47,Dashen,Google Play
gp_rev_dashen_10019,user_ethiopia_937,Smooth transactions. I highly recommend adding a fingerprint scanner feature.,5,24,2024-10-06 01:40:47,Dashen,Google Play
gp_rev_dashen_10020,user_ethiopia_235,The interface hangs on the processing screen when checking my balance. Please optimize.,2,23,2024-10-25 01:40:47,Dashen,Google Play
gp_rev_dashen_10021,user_ethiopia_113,The system fails to send the OTP code. I cannot access my wallet or complete transactions.,1,10,2025-07-18 01:40:47,Dashen,Google Play
gp_rev_dashen_10022,user_ethiopia_718,I keep getting a login error and the application crashes repeatedly on launch.,1,22,2025-09-09 01:40:47,Dashen,Google Play
gp_rev_dashen_10023,user_ethiopia_921,The interface hangs on the processing screen when checking my balance. Please optimize.,2,8,2025-02-24 01:40:47,Dashen,Google Play
gp_rev_dashen_10024,user_ethiopia_555,Constant server communication timeout errors. Fix the customer support line.,1,25,2024-10-29 01:40:47,Dashen,Google Play
gp_rev_dashen_10025,user_ethiopia_792,"I really love using this app, but we need budgeting tools and dark mode features ASAP.",4,17,2025-11-04 01:40:47,Dashen,Google Play
gp_rev_dashen_10026,user_ethiopia_743,Smooth transactions. I highly recommend adding a fingerprint scanner feature.,5,24,2025-03-13 01:40:47,Dashen,Google Play
gp_rev_dashen_10027,user_ethiopia_428,I keep getting a login error and the application crashes repeatedly on launch.,1,19,2025-09-01 01:40:47,Dashen,Google Play
gp_rev_dashen_10028,user_ethiopia_805,Constant server communication timeout errors. Fix the customer support line.,1,12,2026-03-10 01:40:47,Dashen,Google Play
gp_rev_dashen_10029,user_ethiopia_920,Smooth transactions. I highly recommend adding a fingerprint scanner feature.,5,22,2025-03-11 01:40:47,Dashen,Google Play
gp_rev_dashen_10030,user_ethiopia_651,Constant server communication timeout errors. Fix the customer support line.,1,24,2025-01-28 01:40:47,Dashen,Google Play
gp_rev_dashen_10031,user_ethiopia_709,Extremely slow loading times when making instant payments to other banks.,1,18,2025-04-30 01:40:47,Dashen,Google Play
gp_rev_dashen_10032,user_ethiopia_211,The system fails to send the OTP code. I cannot access my wallet or complete transactions.,1,25,2025-08-24 01:40:47,Dashen,Google Play
gp_rev_dashen_10033,user_ethiopia_827,The interface hangs on the processing screen when checking my balance. Please optimize.,2,25,2025-07-14 01:40:47,Dashen,Google Play
gp_rev_dashen_10034,user_ethiopia_278,I keep getting a login error and the application crashes repeatedly on launch.,1,6,2025-12-08 01:40:47,Dashen,Google Play
gp_rev_dashen_10035,user_ethiopia_515,The interface hangs on the processing screen when checking my balance. Please optimize.,2,7,2025-06-06 01:40:47,Dashen,Google Play
gp_rev_dashen_10036,user_ethiopia_653,Very dependable mobile banking system for daily financial operations.,5,25,2025-10-12 01:40:47,Dashen,Google Play
gp_rev_dashen_10037,user_ethiopia_818,Extremely slow loading times when making instant payments to other banks.,1,14,2024-12-08 01:40:47,Dashen,Google Play
gp_rev_dashen_10038,user_ethiopia_331,Constant server communication timeout errors. Fix the customer support line.,1,8,2024-08-08 01:40:47,Dashen,Google Play
gp_rev_dashen_10039,user_ethiopia_196,Great interface! Please add fingerprint login or biometric support for security.,4,13,2024-10-08 01:40:47,Dashen,Google Play
