reviewId,userName,review_text,rating,thumbsUpCount,date,bank_name,source
gp_rev_cbe_10000,user_ethiopia_324,I keep getting a login error and the application crashes repeatedly on launch.,1,9,2024-11-28 01:40:47,CBE,Google Play
gp_rev_cbe_10001,user_ethiopia_242,Constant server communication timeout errors. Fix the customer support line.,1,4,2025-06-22 01:40:47,CBE,Google Play
gp_rev_cbe_10002,user_ethiopia_408,Extremely slow loading times when making instant payments to other banks.,1,21,2025-09-07 01:40:47,CBE,Google Play
gp_rev_cbe_10003,user_ethiopia_169,The interface hangs on the processing screen when checking my balance. Please optimize.,2,21,2025-11-11 01:40:47,CBE,Google Play
gp_rev_cbe_10004,user_ethiopia_433,Extremely slow loading times when making instant payments to other banks.,1,4,2024-12-26 01:40:47,CBE,Google Play
gp_rev_cbe_10005,user_ethiopia_549,"Excellent update, transfers are fast and easy to navigate.",5,23,2024-09-23 01:40:47,CBE,Google Play
gp_rev_cbe_10006,user_ethiopia_819,Smooth transactions. I highly recommend adding a fingerprint scanner feature.,5,7,2025-02-07 01:40:47,CBE,Google Play
gp_rev_cbe_10007,user_ethiopia_217,Extremely slow loading times when making instant payments to other banks.,1,2,2025-01-01 01:40:47,CBE,Google Play
gp_rev_cbe_10008,user_ethiopia_160,The system fails to send the OTP code. I cannot access my wallet or complete transactions.,1,15,2025-06-05 01:40:47,CBE,Google Play
gp_rev_cbe_10009,user_ethiopia_719,The interface hangs on the processing screen when checking my balance. Please optimize.,2,19,2025-05-05 01:40:47,CBE,Google Play
gp_rev_cbe_10010,user_ethiopia_324,Extremely slow loading times when making instant payments to other banks.,1,10,2024-07-17 01:40:47,CBE,Google Play
gp_rev_cbe_10011,user_ethiopia_854,The system fails to send the OTP code. I cannot access my wallet or complete transactions.,1,0,2025-07-30 01:40:47,CBE,Google Play
gp_rev_cbe_10012,user_ethiopia_364,Great interface! Please add fingerprint login or biometric support for security.,4,15,2025-05-13 01:40:47,CBE,Google Play
gp_rev_cbe_10013,user_ethiopia_944,Great interface! Please add fingerprint login or biometric support for security.,4,11,2024-10-12 01:40:47,CBE,Google Play
gp_rev_cbe_10014,user_ethiopia_343,The system fails to send the OTP code. I cannot access my wallet or complete transactions.,1,25,2025-11-30 01:40:47,CBE,Google Play
gp_rev_cbe_10015,user_ethiopia_661,The app is so slow during transfers. It takes forever to load my account balance.,2,4,2025-01-22 01:40:47,CBE,Google Play
